# Version 1.00
#
# (2.92) P1 SRC, P2 STD, B21 40, B31 0, B501 On, B32 0, B302 Off, 271 pts, 3th, 2 GHz, 10 ms, 25 ms, 0.5 ms, 0.1 ms, Ext Att P1 6 P2 6, LN
# 
freq[Hz],Trc3_S11[dB],
4.500000000000000E+08,-3.762064418913475E-02,
4.502500000000000E+08,-3.705776623958776E-02,
4.505000000000000E+08,-3.712584898407888E-02,
4.507500000000000E+08,-3.673088934682413E-02,
4.510000000000000E+08,-3.404378841195888E-02,
4.512500000000000E+08,-3.435786584127381E-02,
4.515000000000000E+08,-3.409938029116725E-02,
4.517500000000000E+08,-3.419713393032719E-02,
4.520000000000000E+08,-3.411123263331944E-02,
4.522500000000000E+08,-3.425434175141407E-02,
4.525000000000000E+08,-3.424033952918998E-02,
4.527500000000000E+08,-3.439227136320972E-02,
4.530000000000000E+08,-3.423024391756536E-02,
4.532500000000000E+08,-3.431858422902140E-02,
4.535000000000000E+08,-3.420049477998697E-02,
4.537500000000000E+08,-3.424040123719448E-02,
4.540000000000000E+08,-3.434680487193707E-02,
4.542500000000000E+08,-3.413479836145954E-02,
4.545000000000000E+08,-3.435403174135829E-02,
4.547500000000000E+08,-3.419443579684397E-02,
4.550000000000000E+08,-3.419720488442175E-02,
4.552500000000000E+08,-3.419160424797895E-02,
4.555000000000000E+08,-3.408821039950101E-02,
4.557500000000000E+08,-3.400156718651604E-02,
4.560000000000000E+08,-3.405607341581917E-02,
4.562500000000000E+08,-3.463945558778780E-02,
4.565000000000000E+08,-3.425141066695318E-02,
4.567500000000000E+08,-3.427133822191574E-02,
4.570000000000000E+08,-3.396746941316218E-02,
4.572500000000000E+08,-3.416601515657686E-02,
4.575000000000000E+08,-3.407993542666322E-02,
4.577500000000000E+08,-3.390374083988913E-02,
4.580000000000000E+08,-3.404726426105083E-02,
4.582500000000000E+08,-3.416616885494919E-02,
4.585000000000000E+08,-3.420052698393936E-02,
4.587500000000000E+08,-3.407559217318257E-02,
4.590000000000000E+08,-3.392589856225223E-02,
4.592500000000000E+08,-3.403214617804802E-02,
4.595000000000000E+08,-3.361364105540297E-02,
4.597500000000000E+08,-3.381691118536387E-02,
