# Version 1.00
#
# (2.92) P1 SRC, P2 STD, B21 40, B31 0, B501 On, B32 0, B302 Off, 271 pts, 3th, 2 GHz, 10 ms, 25 ms, 0.5 ms, 0.1 ms, Ext Att P1 6 P2 6, LN
# 
freq[Hz],Trc2_S21[s],
4.500000000000000E+08,5.804088050096406E-08,
4.502500000000000E+08,-7.792714729217046E-08,
4.505000000000000E+08,-1.771113695619936E-07,
4.507500000000000E+08,-1.647413562788448E-07,
4.510000000000000E+08,-1.317310514257992E-07,
4.512500000000000E+08,-7.266672098445391E-08,
4.515000000000000E+08,-3.213944427226365E-08,
4.517500000000000E+08,-2.149171007541232E-08,
4.520000000000000E+08,-6.600626961509628E-10,
4.522500000000000E+08,-1.039033595009174E-07,
4.525000000000000E+08,-1.055212562898516E-07,
4.527500000000000E+08,-2.386434353840406E-07,
4.530000000000000E+08,-3.791975672376844E-07,
4.532500000000000E+08,-5.526655578933253E-07,
4.535000000000000E+08,-5.906072503012609E-07,
4.537500000000000E+08,-5.307744713668577E-07,
4.540000000000000E+08,-4.414463194120896E-07,
4.542500000000000E+08,-2.502810070809166E-07,
4.545000000000000E+08,-3.121088506320529E-08,
4.547500000000000E+08,1.040672786400134E-07,
4.550000000000000E+08,1.997274434989544E-07,
4.552500000000000E+08,2.995312709776969E-07,
4.555000000000000E+08,2.636945160165374E-07,
4.557500000000000E+08,1.231278091483191E-07,
4.560000000000000E+08,-1.340192610774000E-07,
4.562500000000000E+08,-2.745254257045307E-07,
4.565000000000000E+08,-3.243422996042949E-07,
4.567500000000000E+08,-3.844315745448134E-07,
4.570000000000000E+08,-4.272048316085168E-07,
4.572500000000000E+08,-3.026003065070628E-07,
4.575000000000000E+08,-8.541204077449298E-08,
4.577500000000000E+08,1.916694300517381E-07,
4.580000000000000E+08,3.351708002756569E-07,
4.582500000000000E+08,5.171056079558180E-07,
4.585000000000000E+08,6.806213144596599E-07,
4.587500000000000E+08,7.869873951054582E-07,
4.590000000000000E+08,8.042673207391048E-07,
4.592500000000000E+08,7.723108059534875E-07,
4.595000000000000E+08,6.278732249530460E-07,
4.597500000000000E+08,4.568673744502568E-07,
4.600000000000000E+08,3.217569248413826E-07,
4.602500000000000E+08,2.916545546226120E-07,
4.605000000000000E+08,2.497820395837279E-07,
4.607500000000000E+08,5.962240199850195E-08,
4.610000000000000E+08,-4.679482649049085E-09,
4.612500000000000E+08,8.123683832744749E-08,
4.615000000000000E+08,1.988640613442038E-07,
4.617500000000000E+08,1.749970362397528E-07,
4.620000000000000E+08,1.741825121404474E-07,
4.622500000000000E+08,1.522239280851410E-07,
4.625000000000000E+08,3.479599860913826E-08,
